model,lit_sim_sense__R-P,lit_sim_sense__nDCG@10,lit_sim_sense__lit_R-P,lit_sim_sense__lit_nDCG,lit_sim_sense__idi_R-P,lit_sim_sense__idi_nDCG,lit_idiom__R-P,lit_idiom__nDCG@10,lit_idiom__lit_R-P,lit_idiom__lit_nDCG,lit_idiom__idi_R-P,lit_idiom__idi_nDCG
bm25,0.3263,0.4300,0.5843,0.7017,0.0682,0.1583,0.4267,0.5852,0.4509,0.6214,0.4025,0.5490
BAAI/bge-base-en-v1.5,0.1747,0.2855,0.3279,0.5483,0.0216,0.0227,0.2219,0.3434,0.3241,0.5327,0.1198,0.1542
BAAI/bge-m3,0.2190,0.3693,0.3687,0.6265,0.0692,0.1121,0.3094,0.4862,0.3698,0.6164,0.2491,0.3560
Qwen/Qwen3-Embedding-0.6B,0.2483,0.4042,0.3541,0.5522,0.1425,0.2562,0.2865,0.4328,0.3643,0.5583,0.2087,0.3074
Qwen/Qwen3-Embedding-4B,0.2620,0.4216,0.3043,0.4768,0.2197,0.3664,0.2735,0.4100,0.3160,0.4857,0.2311,0.3344
facebook/contriever,0.1235,0.2280,0.1981,0.3559,0.0488,0.1000,0.1791,0.3007,0.2030,0.3584,0.1551,0.2431
facebook/drama-1b,0.1997,0.3346,0.3568,0.6108,0.0426,0.0584,0.2631,0.4192,0.3602,0.6113,0.1661,0.2271
hkunlp/instructor-base,0.1927,0.3347,0.3121,0.5359,0.0732,0.1335,0.2390,0.3960,0.3123,0.5302,0.1657,0.2618
intfloat/e5-base-v2,0.2094,0.3503,0.3512,0.5852,0.0677,0.1155,0.2777,0.4424,0.3469,0.5771,0.2085,0.3077
intfloat/multilingual-e5-large-instruct,0.2805,0.4466,0.4080,0.6273,0.1529,0.2659,0.3497,0.5217,0.4130,0.6288,0.2863,0.4147
orionweller/tart-dual-contriever-msmarco,0.1527,0.2747,0.2576,0.4559,0.0479,0.0935,0.2082,0.3490,0.2668,0.4593,0.1496,0.2388
sentence-transformers/all-MiniLM-L6-v2,0.2666,0.3832,0.5102,0.7459,0.0229,0.0205,0.3796,0.5275,0.4710,0.6771,0.2883,0.3778
vec-ai/lychee-embed,0.1979,0.3597,0.2882,0.5078,0.1077,0.2116,0.2367,0.4013,0.2955,0.5119,0.1778,0.2907
