model,lit_sim_sense__R-P,lit_sim_sense__nDCG@10,lit_sim_sense__lit_R-P,lit_sim_sense__lit_nDCG,lit_sim_sense__idi_R-P,lit_sim_sense__idi_nDCG,lit_idiom__R-P,lit_idiom__nDCG@10,lit_idiom__lit_R-P,lit_idiom__lit_nDCG,lit_idiom__idi_R-P,lit_idiom__idi_nDCG
bm25,0.3263,0.4300,0.5843,0.7017,0.0682,0.1583,0.4267,0.5852,0.4509,0.6214,0.4025,0.5490
BAAI/bge-base-en-v1.5,0.2136,0.3507,0.3951,0.6640,0.0321,0.0374,0.2798,0.4229,0.3930,0.6445,0.1666,0.2013
BAAI/bge-m3,0.3123,0.4331,0.5722,0.8085,0.0523,0.0577,0.4157,0.5657,0.5432,0.7659,0.2883,0.3655
Qwen/Qwen3-Embedding-0.6B,0.2833,0.4174,0.4294,0.6328,0.1373,0.2019,0.3095,0.4435,0.4336,0.6351,0.1854,0.2518
Qwen/Qwen3-Embedding-4B,0.3625,0.5367,0.4237,0.6255,0.3013,0.4480,0.3631,0.5189,0.4327,0.6295,0.2935,0.4083
facebook/contriever,0.3419,0.4386,0.6482,0.8424,0.0357,0.0349,0.5101,0.6440,0.5715,0.7460,0.4486,0.5421
facebook/drama-1b,0.4232,0.4941,0.7323,0.8936,0.1141,0.0946,0.5374,0.6629,0.6850,0.8509,0.3899,0.4748
hkunlp/instructor-base,0.0054,0.0047,0.0057,0.0051,0.0052,0.0043,0.0063,0.0062,0.0076,0.0059,0.0051,0.0064
intfloat/e5-base-v2,0.3039,0.4402,0.5141,0.7353,0.0937,0.1451,0.4019,0.5705,0.5018,0.7213,0.3019,0.4198
intfloat/multilingual-e5-large-instruct,0.3646,0.5139,0.5613,0.7709,0.1679,0.2568,0.4547,0.6268,0.5542,0.7616,0.3553,0.4919
orionweller/tart-dual-contriever-msmarco,0.3765,0.4611,0.7259,0.9014,0.0271,0.0209,0.4940,0.6058,0.6570,0.8155,0.3310,0.3962
sentence-transformers/all-MiniLM-L6-v2,0.3649,0.4498,0.7225,0.8965,0.0074,0.0031,0.4626,0.5525,0.6218,0.7699,0.3033,0.3351
vec-ai/lychee-embed,0.1587,0.2547,0.2104,0.3538,0.1071,0.1556,0.1880,0.2848,0.2149,0.3520,0.1611,0.2175
