model,lit_sim_sense__R-P,lit_sim_sense__nDCG@10,lit_sim_sense__lit_R-P,lit_sim_sense__lit_nDCG,lit_sim_sense__idi_R-P,lit_sim_sense__idi_nDCG,lit_idiom__R-P,lit_idiom__nDCG@10,lit_idiom__lit_R-P,lit_idiom__lit_nDCG,lit_idiom__idi_R-P,lit_idiom__idi_nDCG
bm25,0.3263,0.4300,0.5843,0.7017,0.0682,0.1583,0.4267,0.5852,0.4509,0.6214,0.4025,0.5490
BAAI/bge-base-en-v1.5,0.2086,0.3563,0.3005,0.5058,0.1167,0.2068,0.2726,0.4290,0.3163,0.5168,0.2289,0.3413
BAAI/bge-m3,0.2709,0.4234,0.4030,0.6100,0.1389,0.2368,0.3686,0.5386,0.3983,0.6009,0.3389,0.4764
Qwen/Qwen3-Embedding-0.6B,0.2434,0.3805,0.3278,0.5067,0.1591,0.2544,0.2580,0.3891,0.3339,0.5116,0.1821,0.2666
Qwen/Qwen3-Embedding-4B,0.2387,0.3812,0.2892,0.4626,0.1881,0.2998,0.2422,0.3676,0.2975,0.4684,0.1869,0.2668
facebook/contriever,0.3044,0.4178,0.5560,0.7660,0.0527,0.0696,0.4881,0.6542,0.5065,0.7022,0.4698,0.6061
facebook/drama-1b,0.4347,0.5467,0.6595,0.8312,0.2099,0.2622,0.5740,0.7272,0.6309,0.8123,0.5171,0.6421
hkunlp/instructor-base,0.0074,0.0072,0.0065,0.0057,0.0084,0.0087,0.0078,0.0077,0.0088,0.0078,0.0068,0.0076
intfloat/e5-base-v2,0.2697,0.4280,0.3853,0.5805,0.1542,0.2754,0.3453,0.5122,0.3820,0.5756,0.3085,0.4488
intfloat/multilingual-e5-large-instruct,0.3316,0.5054,0.4455,0.6538,0.2177,0.3571,0.3986,0.5729,0.4425,0.6498,0.3547,0.4961
orionweller/tart-dual-contriever-msmarco,0.3373,0.4460,0.6125,0.8101,0.0621,0.0819,0.4843,0.6452,0.5738,0.7660,0.3947,0.5244
sentence-transformers/all-MiniLM-L6-v2,0.3459,0.4338,0.6621,0.8411,0.0296,0.0264,0.4642,0.5967,0.5913,0.7820,0.3371,0.4113
vec-ai/lychee-embed,0.1085,0.1708,0.1334,0.2147,0.0836,0.1270,0.1138,0.1681,0.1369,0.2155,0.0907,0.1207
