model,R-P,R-P,R-P,R-P,nDCG@10,nDCG@10,nDCG@10,nDCG@10
,overall,literal,idiomatic,by_subject,overall,literal,idiomatic,by_subject
BAAI/bge-base-en-v1.5,0.2058,0.2469,0.1646,0.0764,0.3930,0.4345,0.3515,0.7024
BAAI/bge-m3,0.2628,0.3508,0.1749,0.0544,0.4883,0.6018,0.3748,0.5146
Qwen/Qwen3-Embedding-0.6B,0.2587,0.3322,0.1852,0.0707,0.4524,0.5297,0.3752,0.6692
facebook/contriever,0.1448,0.1812,0.1085,0.0857,0.2976,0.3392,0.2560,0.7711
facebook/drama-1b,0.2309,0.3379,0.1239,0.0386,0.4109,0.5855,0.2363,0.3684
hkunlp/instructor-base,0.2129,0.2954,0.1304,0.0645,0.4039,0.5142,0.2936,0.6165
hkunlp/instructor-xl,0.3185,0.4035,0.2334,0.0552,0.5838,0.6540,0.5136,0.4914
intfloat/e5-base-v2,0.2423,0.3313,0.1533,0.0572,0.4457,0.5631,0.3282,0.5541
intfloat/multilingual-e5-large-instruct,0.3080,0.3859,0.2302,0.0673,0.5302,0.6052,0.4551,0.6377
nomic-ai/nomic-embed-text-v2-moe,0.1887,0.2332,0.1443,0.0773,0.3632,0.3993,0.3272,0.7190
orionweller/tart-dual-contriever-msmarco,0.1748,0.2449,0.1046,0.0748,0.3434,0.4379,0.2489,0.7013
sentence-transformers/all-MiniLM-L6-v2,0.3200,0.4547,0.1852,0.0448,0.5175,0.6632,0.3719,0.4055
vec-ai/lychee-embed,0.2075,0.2699,0.1451,0.0830,0.4162,0.4883,0.3440,0.7277
