model,R-P,R-P,R-P,R-P,nDCG@10,nDCG@10,nDCG@10,nDCG@10
,overall,literal,idiomatic,by_subject,overall,literal,idiomatic,by_subject
BAAI/bge-base-en-v1.5,0.2275,0.2789,0.1762,0.0703,0.4231,0.4822,0.3641,0.6657
BAAI/bge-m3,0.3090,0.3723,0.2458,0.0632,0.5397,0.5790,0.5005,0.5934
Qwen/Qwen3-Embedding-0.6B,0.2552,0.3186,0.1917,0.0499,0.4209,0.4969,0.3448,0.4977
facebook/contriever,0.3843,0.4887,0.2799,0.0492,0.6479,0.6904,0.6054,0.4187
facebook/drama-1b,0.5070,0.6200,0.3939,0.0350,0.7342,0.8061,0.6623,0.3465
hkunlp/instructor-base,0.0074,0.0051,0.0098,0.0134,0.0073,0.0043,0.0103,0.1018
hkunlp/instructor-xl,-,-,-,-,-,-,-,-
intfloat/e5-base-v2,0.3018,0.3648,0.2389,0.0672,0.5252,0.5616,0.4888,0.6370
intfloat/multilingual-e5-large-instruct,0.3560,0.4192,0.2928,0.0594,0.5869,0.6312,0.5426,0.5883
nomic-ai/nomic-embed-text-v2-moe,0.4027,0.5645,0.2409,0.0499,0.6295,0.7482,0.5109,0.4955
orionweller/tart-dual-contriever-msmarco,0.4036,0.5590,0.2482,0.0469,0.6408,0.7566,0.5250,0.4356
sentence-transformers/all-MiniLM-L6-v2,0.4088,0.5771,0.2406,0.0315,0.5886,0.7722,0.4051,0.3224
vec-ai/lychee-embed,0.1042,0.1153,0.0930,0.0513,0.1696,0.1885,0.1507,0.4784
