id,idiom,valid
001,all along,1
002,all over the place,0
003,and then some,1
004,anything goes,1
005,at a stretch,0
006,at the crossroads,1
007,at the end of the day,1
008,behind bars,1
009,behind someone's back,1
010,black and blue,1
011,by the back door,1
012,by the book,1
013,chapter and verse,1
014,child's play,1
015,close shave,1
016,close to home,1
017,cut and dried,1
018,dead and buried,0
019,dead wood,1
020,do me a favour,1
021,do the trick,1
022,down and out,0
023,down the drain,1
024,fly the flag,1
025,for a song,1
026,for keeps,1
027,for my money,0
028,get a grip,1
029,get a life,0
030,get stuck in,1
031,get the picture,1
032,go all the way,1
033,go places,1
034,go to ground,1
035,go to town,1
036,green light,1
037,hands down,1
038,have a ball,1
039,have a heart,1
040,have been around,1
041,have words,1
042,hold court,1
043,hold water,1
044,in a rut,1
045,in bed with,1
046,in black and white,1
047,in hot water,1
048,in my book,1
049,in stitches,1
050,in the can,1
051,in the clear,1
052,in the dock,1
053,in the driving seat,1
054,in the fast lane,1
055,in the flesh,1
056,in the pink,1
057,in the running,1
058,in the saddle,1
059,in the sticks,1
060,in the swim,1
061,in your face,1
062,knock it off,1
063,lie low,1
064,lift a finger,1
065,look the other way,1
066,make the cut,1
067,make tracks,1
068,night and day,1
069,nuts and bolts,1
070,off and on,1
071,off the record,0
072,off the shelf,1
073,old hat,1
074,on and off,1
075,on ice,1
076,on paper,1
077,on the horn,1
078,on the make,1
079,on the run,1
080,on the stump,1
081,on the wagon,1
082,one of those days,1
083,out of pocket,1
084,out of the woods,1
085,out of your mind,1
086,over the top,1
087,pick up the pieces,1
088,play for time,1
089,point the finger,1
090,pull someone's leg,1
091,ring a bell,1
092,rough edges,1
093,round the bend,1
094,see red,1
095,see the light,1
096,shut the door on,1
097,song and dance,1
098,spot on,1
099,take a bow,1
100,take a dive,1
101,take someone for a ride,1
102,take the floor,1
103,tell tales,1
104,tie the knot,0
105,to a turn,1
106,to boot,1
107,to die for,1
108,to the bone,1
109,twist someone's arm,1
110,two a penny,1
111,under a cloud,1
112,under the influence,1
113,under the microscope,1
114,under the sun,1
115,up in the air,1
116,watering hole,1
117,with a will,0
118,yes and no,1
